Year,Month,Day,Time (in MPH),Speed
2020,08,22,21:53:49,0.32526201662450305,215349347509
2020,08,22,21:53:49,0.19719976336028397,215349732789
2020,08,22,21:53:56,0.12216973448444374,215356696348
2020,08,22,21:53:56,0.2738370199579223,215356812771
2020,08,22,21:53:56,0.41823045465960734,215356928485
2020,08,22,21:53:57,0.41528662837133207,215357047090
2020,08,22,21:53:57,0.25508035031034776,215357173204
2020,08,22,21:53:57,0.48887265638312344,215357303226
2020,08,22,21:53:57,0.31202392240371657,215357457575
2020,08,22,21:53:57,0.3202603385641983,215357615153
2020,08,22,21:53:57,0.18855340137455165,215357772313
2020,08,22,21:54:07,0.2030211057819388,215407185717
2020,08,22,21:54:07,0.39116797980171353,215407334293
2020,08,22,21:54:07,0.1943918870578056,215407483681
2020,08,22,21:54:07,0.2288930911509788,215407670419
2020,08,22,21:54:07,0.22571049687730593,215407856287
2020,08,22,21:54:08,0.29804198399182597,215408009216
2020,08,22,21:58:14,0.37046184243022967,215814230687
2020,08,22,21:58:14,0.22276676319893074,215814567958
2020,08,22,21:58:21,0.12180762515733484,215821393220
2020,08,22,21:58:21,0.2754986146073478,215821509049
2020,08,22,21:58:21,0.40105915699529576,215821627553
2020,08,22,21:58:21,0.3723172208102335,215821756289
2020,08,22,21:58:21,0.2669514148424987,215821876485
2020,08,22,21:58:22,0.5108093034081811,215822002392
2020,08,22,21:58:22,0.3977379120307977,215822120447
2020,08,22,21:58:22,0.3564835015995487,215822253075
2020,08,22,21:58:22,0.09963798199873793,215822414474
2020,08,22,21:58:22,0.1977413175121454,215822414474
2020,08,22,21:58:22,0.39054153283223475,215822572552
2020,08,22,21:58:22,0.3298789637629827,215822709565
2020,08,22,21:58:22,0.36907009035576105,215822852641
2020,08,22,21:58:22,0.41173887401080894,215822967036
2020,08,22,21:58:23,0.10711990287795474,215823105491
2020,08,22,21:58:31,0.20463342044034957,215831549174
2020,08,22,21:58:31,0.3960170359858461,215831699945
2020,08,22,21:58:31,0.19686946931278015,215831849901
2020,08,22,21:58:32,0.22329227395835827,215832042098
2020,08,22,21:58:32,0.22415450956708693,215832228899
2020,08,22,21:58:32,0.29409254692876113,215832380778
2020,08,22,23:13:43,0.12053759768567812,231343626793
2020,08,22,23:13:43,0.1567337689134412,231343878909
2020,08,22,23:13:44,0.05646314838515396,231344044364
2020,08,22,23:13:44,0.15782137119423142,231344325231
2020,08,22,23:13:44,0.18168505891368272,231344530405
2020,08,22,23:13:52,0.2576036570773049,231352590111
2020,08,22,23:13:53,0.11974164662510907,231353017307
2020,08,22,23:14:14,0.24113089877017257,231414407222
2020,08,22,23:14:14,2.821803132201477,231414786850
2020,08,22,23:14:52,0.14411298457991067,231452842640
2020,08,22,23:14:53,0.16225489090036604,231453063957
2020,08,22,23:14:53,0.055737217598097515,231453205977
2020,08,22,23:14:53,0.2124311759401544,231453424219
2020,08,22,23:14:53,0.22131209758626438,231453590914
2020,08,22,23:21:08,0.06935614379840481,232108706037
2020,08,22,23:55:03,<Direction.EXIT: 2>,235503042894
2020,08,22,23:55:03,<Direction.EXIT: 2>,235503220832
2020,08,22,23:55:03,<Direction.EXIT: 2>,235503387169
2020,08,22,23:56:45,<Direction.EXIT: 2>,235645796179
2020,08,22,23:56:46,<Direction.EXIT: 2>,235646003517
